timestamp,ticker,open,high,low,close,volume
2024-01-02,PETR4,35.00,35.50,34.80,35.20,1000000
2024-01-03,PETR4,35.20,35.80,35.00,35.60,1200000
2024-01-04,PETR4,35.60,36.00,35.40,35.80,900000
2024-01-05,PETR4,35.80,36.20,35.50,36.00,1100000
2024-01-08,PETR4,36.00,36.50,35.80,36.30,1300000
2024-01-09,PETR4,36.30,36.80,36.00,36.50,1400000
2024-01-10,PETR4,36.50,37.00,36.20,36.80,1500000
2024-01-11,PETR4,36.80,37.20,36.50,37.00,1200000
2024-01-12,PETR4,37.00,37.50,36.80,37.20,1100000
2024-01-15,PETR4,37.20,37.80,37.00,37.50,1300000
2024-01-16,PETR4,37.50,38.00,37.20,37.80,1400000
2024-01-17,PETR4,37.80,38.20,37.50,38.00,1500000
2024-01-18,PETR4,38.00,38.50,37.80,38.20,1200000
2024-01-19,PETR4,38.20,38.80,38.00,38.50,1100000
2024-01-22,PETR4,38.50,39.00,38.20,38.80,1300000
2024-01-23,PETR4,38.80,39.20,38.50,39.00,1400000
2024-01-24,PETR4,39.00,39.50,38.80,39.20,1500000
2024-01-25,PETR4,39.20,39.80,39.00,39.50,1200000
2024-01-26,PETR4,39.50,40.00,39.20,39.80,1100000
2024-01-29,PETR4,39.80,40.20,39.50,40.00,1300000
2024-01-30,PETR4,40.00,40.50,39.80,40.20,1400000
2024-01-31,PETR4,40.20,40.80,40.00,40.50,1500000
2024-02-01,PETR4,40.50,41.00,40.20,40.80,1200000
2024-02-02,PETR4,40.80,41.20,40.50,41.00,1100000
2024-02-05,PETR4,41.00,41.50,40.80,41.20,1300000
2024-02-06,PETR4,41.20,41.80,41.00,41.50,1400000
2024-02-07,PETR4,41.50,42.00,41.20,41.80,1500000
2024-02-08,PETR4,41.80,42.20,41.50,42.00,1200000
2024-02-09,PETR4,42.00,42.50,41.80,42.20,1100000
2024-02-12,PETR4,42.20,42.80,42.00,42.50,1300000
2024-01-02,VALE3,68.00,68.50,67.50,68.20,800000
2024-01-03,VALE3,68.20,69.00,68.00,68.80,900000
2024-01-04,VALE3,68.80,69.50,68.50,69.20,700000
2024-01-05,VALE3,69.20,70.00,69.00,69.80,850000
2024-01-08,VALE3,69.80,70.50,69.50,70.20,950000
2024-01-09,VALE3,70.20,71.00,70.00,70.80,1000000
2024-01-10,VALE3,70.80,71.50,70.50,71.20,1100000
2024-01-11,VALE3,71.20,72.00,71.00,71.80,900000
2024-01-12,VALE3,71.80,72.50,71.50,72.20,800000
2024-01-15,VALE3,72.20,73.00,72.00,72.80,950000
2024-01-16,VALE3,72.80,73.50,72.50,73.20,1000000
2024-01-17,VALE3,73.20,74.00,73.00,73.80,1100000
2024-01-18,VALE3,73.80,74.50,73.50,74.20,900000
2024-01-19,VALE3,74.20,75.00,74.00,74.80,800000
2024-01-22,VALE3,74.80,75.50,74.50,75.20,950000
2024-01-23,VALE3,75.20,76.00,75.00,75.80,1000000
2024-01-24,VALE3,75.80,76.50,75.50,76.20,1100000
2024-01-25,VALE3,76.20,77.00,76.00,76.80,900000
2024-01-26,VALE3,76.80,77.50,76.50,77.20,800000
2024-01-29,VALE3,77.20,78.00,77.00,77.80,950000
2024-01-30,VALE3,77.80,78.50,77.50,78.20,1000000
2024-01-31,VALE3,78.20,79.00,78.00,78.80,1100000
2024-02-01,VALE3,78.80,79.50,78.50,79.20,900000
2024-02-02,VALE3,79.20,80.00,79.00,79.80,800000
2024-02-05,VALE3,79.80,80.50,79.50,80.20,950000
2024-02-06,VALE3,80.20,81.00,80.00,80.80,1000000
2024-02-07,VALE3,80.80,81.50,80.50,81.20,1100000
2024-02-08,VALE3,81.20,82.00,81.00,81.80,900000
2024-02-09,VALE3,81.80,82.50,81.50,82.20,800000
2024-02-12,VALE3,82.20,83.00,82.00,82.80,950000

















