date,equity,drawdown,exposure,vol_exante,vol_expost,dividend_cashflow,dividend_cumulative
2024-01-01,1000000,0.000000,0.516151,0.200000,,,
2024-01-02,1001000.000,0.000000,0.516151,0.200000,,,
2024-01-03,1002000.000,0.000000,0.516151,0.200000,,,
2024-01-04,1003000.000,0.000000,0.516151,0.200000,,,
2024-01-05,1004000.000,0.000000,0.516151,0.200000,,,
2024-01-06,1005000.000,0.000000,0.516151,0.200000,,,
2024-01-07,1006000.000,0.000000,0.516151,0.200000,,,
2024-01-08,1007000.000,0.000000,0.516151,0.200000,,,
2024-01-09,1008000.000,0.000000,0.516151,0.200000,,,
2024-01-10,1009000.000,0.000000,0.516151,0.200000,,,
2024-01-11,1010000.00,0.000000,0.516151,0.200000,,,
2024-01-12,1011000.000,0.000000,0.516151,0.200000,,,
2024-01-13,1012000.000,0.000000,0.516151,0.200000,,,
2024-01-14,1013000.000,0.000000,0.516151,0.200000,,,
2024-01-15,1014000.000,0.000000,0.516151,0.200000,,,
2024-01-16,1015000.000,0.000000,0.516151,0.200000,,,
2024-01-17,1016000.000,0.000000,0.516151,0.200000,,,
2024-01-18,1017000.000,0.000000,0.516151,0.200000,,,
2024-01-19,1018000.000,0.000000,0.516151,0.200000,,,
2024-01-20,1019000.000,0.000000,0.516151,0.200000,,,
2024-01-21,1020000.00,0.000000,0.516151,0.200000,,,
2024-01-22,1021000.000,0.000000,0.516151,0.200000,,,
2024-01-23,1022000.000,0.000000,0.516151,0.200000,,,
2024-01-24,1023000.000,0.000000,0.516151,0.200000,,,
2024-01-25,1024000.000,0.000000,0.516151,0.200000,,,
2024-01-26,1025000.000,0.000000,0.516151,0.200000,,,
2024-01-27,1026000.000,0.000000,0.516151,0.200000,,,
2024-01-28,1027000.000,0.000000,0.516151,0.200000,,,
2024-01-29,1028000.000,0.000000,0.516151,0.200000,,,
2024-01-30,1029000.000,0.000000,0.516151,0.200000,,,
2024-01-31,1030000.00,0.000000,0.516151,0.200000,,,
2024-02-01,1031000.000,0.000000,0.516151,0.200000,,,
2024-02-02,1032000.000,0.000000,0.516151,0.200000,,,
2024-02-03,1033000.000,0.000000,0.516151,0.200000,,,
2024-02-04,1034000.000,0.000000,0.516151,0.200000,,,
2024-02-05,1035000.000,0.000000,0.516151,0.200000,,,
2024-02-06,1036000.000,0.000000,0.516151,0.200000,,,
2024-02-07,1037000.000,0.000000,0.516151,0.200000,,,
2024-02-08,1038000.000,0.000000,0.516151,0.200000,,,
2024-02-09,1039000.000,0.000000,0.516151,0.200000,,,
2024-02-10,1040000.00,0.000000,0.516151,0.200000,,,
2024-02-11,1041000.000,0.000000,0.516151,0.200000,,,
2024-02-12,1042000.000,0.000000,0.516151,0.200000,,,
2024-02-13,1043000.000,0.000000,0.516151,0.200000,,,
2024-02-14,1044000.000,0.000000,0.516151,0.200000,,,
2024-02-15,1045000.000,0.000000,0.516151,0.200000,,,
2024-02-16,1046000.000,0.000000,0.516151,0.200000,,,
2024-02-17,1047000.000,0.000000,0.516151,0.200000,,,
2024-02-18,1048000.000,0.000000,0.516151,0.200000,,,
2024-02-19,1049000.000,0.000000,0.516151,0.200000,,,
2024-02-20,1050000.00,0.000000,0.516151,0.200000,,,
2024-02-21,1051000.000,0.000000,0.516151,0.200000,,,
2024-02-22,1052000.000,0.000000,0.516151,0.200000,,,
2024-02-23,1053000.000,0.000000,0.516151,0.200000,,,
2024-02-24,1054000.000,0.000000,0.516151,0.200000,,,
2024-02-25,1055000.000,0.000000,0.516151,0.200000,,,
2024-02-26,1056000.000,0.000000,0.516151,0.200000,,,
2024-02-27,1057000.000,0.000000,0.516151,0.200000,,,
2024-02-28,1058000.000,0.000000,0.516151,0.200000,,,
