date,equity,drawdown,exposure,vol_exante,vol_expost
2024-01-01,100000,0.000000,1.000000,0.200000,
2024-01-02,100100.000,0.000000,1.000000,0.200000,
2024-01-03,100200.000,0.000000,1.000000,0.200000,
2024-01-04,100300.000,0.000000,1.000000,0.200000,
2024-01-05,100400.000,0.000000,1.000000,0.200000,
2024-01-06,100500.000,0.000000,1.000000,0.200000,
2024-01-07,100600.000,0.000000,1.000000,0.200000,
2024-01-08,100700.000,0.000000,1.000000,0.200000,
2024-01-09,100800.000,0.000000,1.000000,0.200000,
2024-01-10,100900.000,0.000000,1.000000,0.200000,
2024-01-11,101000.00,0.000000,1.000000,0.200000,
2024-01-12,101100.000,0.000000,1.000000,0.200000,
2024-01-13,101200.000,0.000000,1.000000,0.200000,
2024-01-14,101300.000,0.000000,1.000000,0.200000,
2024-01-15,101400.000,0.000000,1.000000,0.200000,
2024-01-16,101500.000,0.000000,1.000000,0.200000,
2024-01-17,101600.000,0.000000,1.000000,0.200000,
2024-01-18,101700.000,0.000000,1.000000,0.200000,
2024-01-19,101800.000,0.000000,1.000000,0.200000,
2024-01-20,101900.000,0.000000,1.000000,0.200000,
2024-01-21,102000.00,0.000000,1.000000,0.200000,
2024-01-22,102100.000,0.000000,1.000000,0.200000,
2024-01-23,102200.000,0.000000,1.000000,0.200000,
2024-01-24,102300.000,0.000000,1.000000,0.200000,
2024-01-25,102400.000,0.000000,1.000000,0.200000,
2024-01-26,102500.000,0.000000,1.000000,0.200000,
2024-01-27,102600.000,0.000000,1.000000,0.200000,
2024-01-28,102700.000,0.000000,1.000000,0.200000,
2024-01-29,102800.000,0.000000,1.000000,0.200000,
2024-01-30,102900.000,0.000000,1.000000,0.200000,
2024-01-31,103000.00,0.000000,1.000000,0.200000,
2024-02-01,103100.000,0.000000,1.000000,0.200000,
2024-02-02,103200.000,0.000000,1.000000,0.200000,
2024-02-03,103300.000,0.000000,1.000000,0.200000,
2024-02-04,103400.000,0.000000,1.000000,0.200000,
2024-02-05,103500.000,0.000000,1.000000,0.200000,
2024-02-06,103600.000,0.000000,1.000000,0.200000,
2024-02-07,103700.000,0.000000,1.000000,0.200000,
2024-02-08,103800.000,0.000000,1.000000,0.200000,
2024-02-09,103900.000,0.000000,1.000000,0.200000,
2024-02-10,104000.00,0.000000,1.000000,0.200000,
2024-02-11,104100.000,0.000000,1.000000,0.200000,
2024-02-12,104200.000,0.000000,1.000000,0.200000,
2024-02-13,104300.000,0.000000,1.000000,0.200000,
2024-02-14,104400.000,0.000000,1.000000,0.200000,
2024-02-15,104500.000,0.000000,1.000000,0.200000,
2024-02-16,104600.000,0.000000,1.000000,0.200000,
2024-02-17,104700.000,0.000000,1.000000,0.200000,
2024-02-18,104800.000,0.000000,1.000000,0.200000,
2024-02-19,104900.000,0.000000,1.000000,0.200000,
2024-02-20,105000.00,0.000000,1.000000,0.200000,
2024-02-21,105100.000,0.000000,1.000000,0.200000,
2024-02-22,105200.000,0.000000,1.000000,0.200000,
2024-02-23,105300.000,0.000000,1.000000,0.200000,
2024-02-24,105400.000,0.000000,1.000000,0.200000,
2024-02-25,105500.000,0.000000,1.000000,0.200000,
2024-02-26,105600.000,0.000000,1.000000,0.200000,
2024-02-27,105700.000,0.000000,1.000000,0.200000,
2024-02-28,105800.000,0.000000,1.000000,0.200000,
2024-02-29,105900.000,0.000000,1.000000,0.200000,
2024-03-01,106000.00,0.000000,1.000000,0.200000,
2024-03-02,106100.000,0.000000,1.000000,0.200000,
2024-03-03,106200.000,0.000000,1.000000,0.200000,
2024-03-04,106300.000,0.000000,1.000000,0.200000,
2024-03-05,106400.000,0.000000,1.000000,0.200000,
2024-03-06,106500.000,0.000000,1.000000,0.200000,
2024-03-07,106600.000,0.000000,1.000000,0.200000,
2024-03-08,106700.000,0.000000,1.000000,0.200000,
2024-03-09,106800.000,0.000000,1.000000,0.200000,
